,NAV
2025-06-24 00:00:00,1176.7974132657264
2025-06-25 00:00:00,1197.8082891878942
2025-06-26 00:00:00,1192.5672371785445
2025-06-27 00:00:00,1205.9901734567736
2025-06-30 00:00:00,1219.5827488184489
2025-07-01 00:00:00,1227.5802021169798
2025-07-02 00:00:00,1218.414311059546
2025-07-03 00:00:00,1219.5835131949743
2025-07-04 00:00:00,1226.3749500393615
2025-07-07 00:00:00,1215.375337170549
2025-07-08 00:00:00,1218.32061309672
2025-07-09 00:00:00,1212.517143840226
2025-07-10 00:00:00,1206.52384939215
2025-07-11 00:00:00,1227.758478802729
2025-07-14 00:00:00,1233.4149500070791
2025-07-15 00:00:00,1251.6898387526742
2025-07-16 00:00:00,1254.2127910624358
2025-07-17 00:00:00,1285.7769776757023
2025-07-18 00:00:00,1289.1736090367285
2025-07-21 00:00:00,1307.2277005394674
2025-07-22 00:00:00,1321.488477955376
2025-07-23 00:00:00,1323.171363782732
2025-07-24 00:00:00,1346.2000557359106
2025-07-25 00:00:00,1356.7473153728595
2025-07-28 00:00:00,1358.4145667070156
2025-07-29 00:00:00,1405.9299897765175
2025-07-30 00:00:00,1394.4105686659739
2025-07-31 00:00:00,1394.5765699241483
2025-08-01 00:00:00,1397.1787216240534
2025-08-04 00:00:00,1450.0483224461468
2025-08-05 00:00:00,1463.1677612399826
2025-08-06 00:00:00,1481.4878222399034
2025-08-07 00:00:00,1480.5092363409203
2025-08-08 00:00:00,1473.1438961091287
2025-08-11 00:00:00,1472.4208536177223
2025-08-12 00:00:00,1478.3042949748865
2025-08-13 00:00:00,1510.8146044009268
2025-08-14 00:00:00,1502.4887106178692
2025-08-15 00:00:00,1526.9890549466509
2025-08-18 00:00:00,1566.968915598619
2025-08-19 00:00:00,1554.4762450166381
2025-08-20 00:00:00,1561.9908031038449
2025-08-21 00:00:00,1558.2113917626957
2025-08-22 00:00:00,1558.3968931188579
2025-08-25 00:00:00,1572.953004148505
2025-08-26 00:00:00,1571.6356357655256
2025-08-27 00:00:00,1571.822735245974
2025-08-28 00:00:00,1575.2719231128833
2025-08-29 00:00:00,1601.653432062995
2025-09-01 00:00:00,1652.5331198961726
2025-09-02 00:00:00,1633.0545423302722
2025-09-03 00:00:00,1628.4547065306256
2025-09-04 00:00:00,1568.339303069711
2025-09-05 00:00:00,1619.499955431588
2025-09-08 00:00:00,1630.5594580433315
2025-09-09 00:00:00,1615.206249557108
2025-09-10 00:00:00,1616.1709311270997
2025-09-11 00:00:00,1652.8486321746918
2025-09-12 00:00:00,1654.6113087084445
2025-09-15 00:00:00,1642.3048388029765
2025-09-16 00:00:00,1661.477263082955
2025-09-17 00:00:00,1683.5166983819793
2025-09-18 00:00:00,1695.8892359631411
2025-09-19 00:00:00,1687.6381794628778
2025-09-22 00:00:00,1719.0060948098223
2025-09-23 00:00:00,1715.5012745694532
2025-09-24 00:00:00,1722.3989126066185
2025-09-25 00:00:00,1730.6490068147473
2025-09-26 00:00:00,1686.5596541606003
2025-09-29 00:00:00,1686.6475452075451
2025-09-30 00:00:00,1719.1831671058083
2025-10-09 00:00:00,1770.9995420218206
