基金代码,基金名称
011499,富国沪深300基本面精选股票C(011499
019018,易方达信息产业混合C(019018
014563,易方达品质动能三年持有混合C(014563
019034,易方达高端制造混合发起式C(019034
014581,东吴阿尔法灵活配置混合C(014581
011584,大成港股精选混合(QDII)C(011584
011575,鹏华领航一年持有混合C(011575
014592,广发瑞誉一年持有期混合C(014592
011607,民生加银周期优选混合C(011607
009939,淳厚欣享一年持有期混合C(009939
019072,嘉实国证通信ETF发起联接C(019072
011611,华泰柏瑞上证科创板50成份ETF联接C(011611
019053,华商元亨混合C(019053
014612,富国核心科技12个月持有混合C(014612
009995,嘉实创新先锋混合C(009995
011613,华夏科创50ETF联接C(011613
011615,工银科创ETF联接C(011615
019092,金鹰核心资源混合C(019092
014642,摩根新兴动力混合C(014642
011644,嘉实时代先锋三年持有混合C(011644
019088,工银中证稀有金属主题ETF发起式联接C(019088
019093,金鹰科技创新股票C(019093
014728,易方达成长动力混合C(014728
011668,东财高端制造增强C(011668
014737,创金合信专精特新股票发起C(014737
011709,中欧嘉益一年持有期混合C(011709
019165,汇添富中证细分有色金属产业主题ETF发起式联接C(019165
014755,华安景气优选混合C(014755
011821,兴业兴智一年持有期混合C(011821
011682,汇添富均衡精选六个月持有混合C(011682
019170,天弘中证沪港深云计算产业ETF发起联接C(019170
014777,富国中证芯片产业ETF发起式联接C(014777
010138,华泰柏瑞量化创享混合C(010138
019190,华商品质价值混合C(019190
011889,民生加银周期优选混合C(011889
014808,宏利景气智选18个月持有混合C(014808
011931,华夏时代前沿一年持有混合C(011931
019237,广发国证通信ETF发起式联接C(019237
014812,平安兴奕成长1年持有混合C(014812
019239,景顺长城创业板综指增强C(019239
011937,华夏阿尔法精选混合C(011937
010238,安信创新先锋混合发起C(010238
011965,泰康中证500ETF联接C(011965
019281,华西优选成长一年持有混合C(019281
010321,中银大健康股票C(010321
014855,嘉实中证半导体指数增强发起式C(014855
011978,格林研究优选混合C(011978
012081,易方达中证500指数量化增强C(012081
015159,申万菱信智能驱动股票C(015159
019571,诺安优化配置混合C(019571
012716,长盛创新先锋混合C(012716
015491,博时科创主题灵活配置混合(LOF)C(015491
012908,鹏扬中证科创创业50ETF联接C(012908
011043,国泰价值先锋股票C(011043
021511,宏利半导体产业混合发起C(021511
012536,万家全球成长一年持有期混合(QDII)C(012536
015390,万家瑞兴灵活配置混合C(015390
013642,博道成长智航股票C(013642
009982,万家创业板指数增强C(009982
018359,华富数字经济混合C(018359
014314,鹏华创新增长一年持有期混合C(014314
010812,中银战略新兴产业股票C(010812
011137,广发盛兴混合C(011137
